from_letter,to_letter,count,probability
j,z,33,0.00009349368917598063
j,v,28,0.00007932797869477143
j,p,28,0.00007932797869477143
j,g,22,0.00006232912611732041
k,a,2422068,0.5035304350863129
k,i,696841,0.14486820845491596
k,o,624769,0.12988496045463654
k,u,510563,0.10614235831899566
k,e,354108,0.07361649437899517
k,w,104599,0.021745376256815763
k,y,49839,0.010361167958235173
k,h,19799,0.004116069030379787
k,p,16324,0.0033936416410889256
k,s,3185,0.0006621384848608324
k,m,1455,0.0003024839860196267
k,l,1115,0.0002318004428947655
k,k,1111,0.0002309688717991789
k,r,1074,0.00022327683916500282
k,f,1046,0.00021745584149589662
k,n,715,0.00014864333333610523
k,b,664,0.00013804080186737605
k,t,356,0.00007400982750720764
k,d,153,0.000031807594406187556
k,c,129,0.00002681816783266794
k,z,80,0.000016631421911732053
k,j,76,0.00001579985081614545
k,g,50,0.000010394638694832534
k,v,35,7.276247086382774e-6
k,q,13,2.7026060606564587e-6
k,x,5,1.0394638694832533e-6
l,a,1143789,0.2931911230778853
l,u,852635,0.21855867928919823
l,o,692985,0.1776350799195729
l,e,675967,0.17327280109669607
l,i,437269,0.11208657295807516
l,w,41474,0.010631164173227943
l,y,16163,0.0041431139155105184
l,l,11232,0.0028791347830856985
l,m,5591,0.0014331590609181035
l,b,4428,0.0011350435202549388
l,k,4263,0.001092748538131618
l,p,3683,0.0009440752676375202
l,v,1905,0.000488314793605614
l,s,1754,0.0004496084766321505
l,n,1709,0.0004380734815076085
l,d,1659,0.0004252568202581173
l,f,1205,0.00030888153611273743
l,t,1151,0.00029503954196328694
l,h,631,0.00016174626496857867
l,c,521,0.00013354961021969807
l,g,445,0.00011406828512047148
l,r,379,0.00009715029227114314
l,z,209,0.00005357364402287313
l,j,107,0.00002742765507391112
l,q,15,3.844998374847354e-6
l,x,3,7.689996749694708e-7
m,b,2344782,0.35020513175135426
m,a,1639772,0.24490829821372803
m,u,1276863,0.1907059910658771
m,o,376320,0.0562053082890732
m,i,272582,0.04071150973653314
m,p,255107,0.03810152950069248
m,w,249490,0.037262601947918986
m,e,186190,0.027808424612942546
m,v,40697,0.006078304186438169
m,f,29502,0.004406273929486175
m,m,6449,0.0009631909894670308
m,y,5748,0.0008584930698490453
m,s,3390,0.0005063137624892595
m,n,1977,0.0002952750172393115
m,k,1790,0.00026734561500170337
m,t,1092,0.00016309576066025704
m,z,1054,0.00015742026715742758
m,l,824,0.00012306859595609138
m,d,560,0.00008363885162064464
m,g,473,0.00007064495860100878
m,c,255,0.000038085548505829256
m,r,249,0.00003718941795275092
m,h,167,0.00002494230039401367
m,j,113,0.00001687712541630865
m,q,4,5.974203687188903e-7
m,x,3,4.480652765391677e-7
n,g,2690439,0.39939287344043234
n,d,1279949,0.1900070988293018
n,a,461847,0.06856070716334522
n,z,452263,0.06713797232376956
n,i,329733,0.048948521166298165
n,k,282238,0.04189793777672742
n,y,270298,0.04012545718568679
n,t,238561,0.03541413251919965
n,s,234903,0.03487110622087246
n,e,185027,0.02746706585581865
n,o,96764,0.014364515235465287
n,u,79047,0.01173444499832401
n,j,52012,0.00772112734515957
n,l,21958,0.003259642279570365
n,n,14311,0.0021244530769164538
n,c,14143,0.002099513651514877
n,v,9574,0.0014212503499684249
n,m,5523,0.0008198836100768342
n,w,5473,0.0008124611620406506
n,f,4918,0.0007300719888390134
n,b,2837,0.00042114970157305427
n,r,2012,0.0002986793089760258
n,h,1277,0.0001895693228441277
n,p,1105,0.0001640361015996563
n,q,110,0.000016329385679603796
o,n,1192067,0.2567727546678534
o,m,814223,0.17538467437142677
o,l,555792,0.11971830682533412
o,k,538218,0.11593284477451579
o,y,264879,0.05705527498342487
